Postcode;Plaats;Gemeente;Provincie;Latitude;Longitude
1300;Almere;Almere;Flevoland;52.41690712;5.219714125
1301;Almere;Almere;Flevoland;52.41690712;5.219714125
1302;Almere;Almere;Flevoland;52.41690712;5.219714125
1303;Almere;Almere;Flevoland;52.41690712;5.219714125
1305;Almere;Almere;Flevoland;52.41690712;5.219714125
1309;Almere;Almere;Flevoland;52.37258341;5.176425033
1311;Almere;Almere;Flevoland;52.36840426;5.17934992
1312;Almere;Almere;Flevoland;52.37342599;5.189137285
1313;Almere;Almere;Flevoland;52.38265233;5.198079841
1314;Almere;Almere;Flevoland;52.37998638;5.212569141
1315;Almere;Almere;Flevoland;52.36963386;5.217392705
1316;Almere;Almere;Flevoland;52.3854075;5.222561523
1317;Almere;Almere;Flevoland;52.38936944;5.233363063
1318;Almere;Almere;Flevoland;52.38199287;5.249581925
1319;Almere;Almere;Flevoland;52.37870835;5.171882196
1320;Almere;Almere;Flevoland;52.36868381;5.215788784
1321;Almere;Almere;Flevoland;52.3572223;5.1823314
1322;Almere;Almere;Flevoland;52.34972462;5.183745396
1323;Almere;Almere;Flevoland;52.36573109;5.195167619
1324;Almere;Almere;Flevoland;52.36376035;5.207045841
1325;Almere;Almere;Flevoland;52.36648711;5.237124322
1326;Almere;Almere;Flevoland;52.36948835;5.251608931
1327;Almere;Almere;Flevoland;52.35966764;5.25803102
1328;Almere;Almere;Flevoland;52.3733726;5.264483913
1329;Almere;Almere;Flevoland;52.36901363;5.273989633
1331;Almere;Almere;Flevoland;52.38979259;5.255536251
1332;Almere;Almere;Flevoland;52.40885022;5.251079444
1333;Almere;Almere;Flevoland;52.39565876;5.265032078
1334;Almere;Almere;Flevoland;52.39495874;5.276571858
1335;Almere;Almere;Flevoland;52.40398138;5.290712775
1336;Almere;Almere;Flevoland;52.40347468;5.317310612
1338;Almere;Almere;Flevoland;52.38765826;5.279705461
1339;Almere;Almere;Flevoland;52.39642121;5.302088575
1341;Almere;Almere;Flevoland;52.35753015;5.282885436
1343;Almere;Almere;Flevoland;52.34097325;5.30371121
1349;Almere;Almere;Flevoland;52.33679391;5.336157822
1351;Almere;Almere;Flevoland;52.34795667;5.219248394
1352;Almere;Almere;Flevoland;52.34390876;5.214676868
1353;Almere;Almere;Flevoland;52.33764081;5.209192412
1354;Almere;Almere;Flevoland;52.3378696;5.218818096
1355;Almere;Almere;Flevoland;52.34362727;5.227216409
1356;Almere;Almere;Flevoland;52.33852941;5.237773496
1357;Almere;Almere;Flevoland;52.33456001;5.229934075
1358;Almere;Almere;Flevoland;52.333122;5.269341765
1359;Almere;Almere;Flevoland;52.33969901;5.193274778
1361;Almere;Almere;Flevoland;52.34211794;5.134236896
1362;Almere;Almere;Flevoland;52.35053078;5.166741278
1363;Almere;Almere;Flevoland;52.35391092;5.151053507
3890;Zeewolde;Zeewolde;Flevoland;52.3575537;5.510189303
3891;Zeewolde;Zeewolde;Flevoland;52.33318427;5.53807032
3892;Zeewolde;Zeewolde;Flevoland;52.32357032;5.540349153
3893;Zeewolde;Zeewolde;Flevoland;52.33691114;5.518630884
3894;Zeewolde;Zeewolde;Flevoland;52.34363153;5.526363651
